,dataset_name,group_id,network_id,predictor,outcome,decoder_fname,r2,r
60,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00005,hidden_state,io_confidence,io_confidence_hidden_state_fed97_00005_decoder.pkl,0.41364126310917204,0.6460419547151037
61,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00005,hidden_state,io_evidence,io_evidence_hidden_state_fed97_00005_decoder.pkl,0.9436866248854561,0.97143893296704
62,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00005,hidden_state,io_lr_tplus1,io_lr_tplus1_hidden_state_fed97_00005_decoder.pkl,0.26208879751703107,0.5186214542003764
63,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00005,hidden_gates_tplus1,io_confidence,io_confidence_hidden_gates_tplus1_fed97_00005_decoder.pkl,0.4713182622269554,0.6954548981763792
64,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00005,hidden_gates_tplus1,io_evidence,io_evidence_hidden_gates_tplus1_fed97_00005_decoder.pkl,0.9475907806479399,0.9734503053359093
65,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00005,hidden_gates_tplus1,io_lr_tplus1,io_lr_tplus1_hidden_gates_tplus1_fed97_00005_decoder.pkl,0.4064876161270321,0.6577198244762069
66,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00005,hidden_all,io_confidence,io_confidence_hidden_all_fed97_00005_decoder.pkl,0.623857818878617,0.7906006132995855
67,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00005,hidden_all,io_evidence,io_evidence_hidden_all_fed97_00005_decoder.pkl,0.9491834715480444,0.9742608092256279
68,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00005,hidden_all,io_lr_tplus1,io_lr_tplus1_hidden_all_fed97_00005_decoder.pkl,0.5997042323980604,0.7759425887983044
69,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00005,output,io_confidence,io_confidence_output_fed97_00005_decoder.pkl,-0.005295851083905845,-0.01521645237021425
70,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00005,output,io_evidence,io_evidence_output_fed97_00005_decoder.pkl,0.9107963027806935,0.9544001124442586
71,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00005,output,io_lr_tplus1,io_lr_tplus1_output_fed97_00005_decoder.pkl,-0.001754326728901301,-0.010541115918639276
72,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00006,hidden_state,io_confidence,io_confidence_hidden_state_fed97_00006_decoder.pkl,0.25143256404535597,0.5018638586559502
73,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00006,hidden_state,io_evidence,io_evidence_hidden_state_fed97_00006_decoder.pkl,0.9441428176027493,0.9716730580673346
74,B_PC1by75_N1000_06-03-20,grudiag11_b_2020-12-11,fed97_00006,hidden_state,io_lr_tplus1,io_lr_tplus1_hidden_state_fed97_00006_decoder.pkl,0.08824822643641794,0.3011736015434229
