,group_id,predictor,outcome,r2_mean,r2_mean_ci_lower,r2_mean_ci_upper,r2_max,r2_median,r2_median_network_id,r2_median_ci_lower,r2_median_ci_upper,r_mean,r_mean_ci_lower,r_mean_ci_upper,r_max,r_median,r_median_ci_lower,r_median_ci_upper
15,gru11_mi_2020-12-11,hidden_gates_tplus1,io_evidence_1,0.940979785963231,0.9368492336951365,0.9451103382313254,0.9514950866082698,0.9443181307146984,b2b0f_00003,0.935494423626228,0.9458058114255018,0.9700767320693379,0.9679437926125116,0.9722096715261641,0.9755143613776464,0.9717728719996851,0.9672869882786388,0.9725695896907274
16,gru11_mi_2020-12-11,hidden_gates_tplus1,io_lr_tplus1_0,0.7570232631962525,0.7403654218833123,0.7736811045091926,0.8336268996532631,0.7508708887575923,b2b0f_00014,0.7407174041753106,0.7757464912615332,0.8708679011591706,0.8613593855689496,0.8803764167493915,0.9142131627462072,0.8678202827009329,0.8618349329741378,0.8819858777079118
17,gru11_mi_2020-12-11,hidden_gates_tplus1,io_lr_tplus1_1,0.7374942585045765,0.7184764352343366,0.7565120817748164,0.7994083393049568,0.7290531495348103,b2b0f_00017,0.7165258637275049,0.7704525883252168,0.8597287384293724,0.8486625179388584,0.8707949589198863,0.8958576881141391,0.8549920956354344,0.8476835507203796,0.8783660191378745
18,gru11_mi_2020-12-11,hidden_gates_tplus1,io_confidence_xt,0.551751489666999,0.5266905572367034,0.5768124220972947,0.6546688128406359,0.5530471503345288,b2b0f_00018,0.5156038350601946,0.5814007722143724,0.7447761451298627,0.7282078592905115,0.7613444309692139,0.8116045313854188,0.7467537686361475,0.7231797059185074,0.7648220195200276
19,gru11_mi_2020-12-11,hidden_gates_tplus1,io_confidence_1minusxt,0.5949370099419038,0.5799412868556694,0.6099327330281382,0.655165501174506,0.5928696609040283,b2b0f_00013,0.5751424412600383,0.613601061474028,0.7746388511562419,0.7650174276107284,0.7842602747017553,0.8124547393638277,0.7742468439689794,0.7618876005934694,0.786364237576896
20,gru11_mi_2020-12-11,hidden_gates_tplus1,io_evidence_xt,0.9495071183573172,0.9452709364531406,0.9537433002614937,0.9643651303494007,0.9510685162031878,b2b0f_00012,0.9426003704730096,0.955023496353346,0.9744484582714614,0.972278702611885,0.9766182139310379,0.9820345719573554,0.9752538914816065,0.9709078145317576,0.9772905170334352
21,gru11_mi_2020-12-11,hidden_gates_tplus1,io_evidence_1minusxt,0.8747537591665419,0.8612170357547297,0.888290482578354,0.9299567267988073,0.8741613653623541,b2b0f_00007,0.8558975258571311,0.89300926400003,0.9352955267606881,0.928086047425696,0.9425050060956801,0.9643693334513792,0.9352009235471568,0.925656974699444,0.9449923996534252
22,gru11_mi_2020-12-11,hidden_gates_tplus1,io_lr_tplus1_xt,0.45374389395501913,0.4268212240002548,0.48066656390978346,0.569202827871989,0.44761679403725174,b2b0f_00014,0.4236800378693157,0.477092692397508,0.675819921745708,0.6560192577891281,0.695620585702288,0.7569497380841146,0.6732592320583229,0.6534242826461565,0.6957302840659589
23,gru11_mi_2020-12-11,hidden_gates_tplus1,io_lr_tplus1_1minusxt,0.47283778640504737,0.43125317113288053,0.5144224016772142,0.6334402556476583,0.49524609856197926,b2b0f_00018,0.4162248584602275,0.5475967360866227,0.6859322608513819,0.6552298139503159,0.716634707752448,0.7964417064703024,0.7045184341314248,0.6463291023620069,0.7412605475500389
24,gru11_mi_2020-12-11,hidden_all,io_confidence_0,0.7205497326560213,0.6995546619153634,0.7415448033966792,0.8068907633294061,0.7251098366766364,b2b0f_00005,0.6907689639982266,0.7479347445205093,0.8496927209952094,0.8375277709446803,0.8618576710457385,0.8989560159704195,0.8525635442506703,0.8337820417413278,0.8658561673559328
